Timestamp,I feel like the work I did contributed to the project's overall goals,"If I didn't have the answer, someone on the team partnered with me to find it",Within this sprint I was able to work towards my own long term goals,I am able to vocalize when I feel like I might not meet deadlines without fear or punishment/judgement ,Project work did not hurt my ability to maintain a healthy and fulfilling lifestyle,I can sign off and not worry about the things I didn't get done today,"I can honestly share my opinions (whether in retro, refinement, etc.) with respecful conversation instead of conflict",I can provide honest internal feedback with regards to client situations and processes,Leadership respects technical and process choices I make even if something fails
10/17/2023 11:02:54,10,10,8,9,10,10,10,10,10
10/17/2023 11:31:37,8,8,6,10,9,10,9,10,10
10/17/2023 11:39:23,9,10,8,10,10,10,10,10,10
10/17/2023 13:07:00,8,9,8,7,8,7,8,7,8
10/17/2023 20:52:44,9,10,6,10,10,10,9,10,10
10/19/2023 12:45:44,9,8,9,7,10,9,6,8,8
10/19/2023 20:06:07,7,10,8,8,7,8,8,8,9
10/20/2023 9:40:08,8,8,9,7,9,8,9,9,9
10/20/2023 9:51:50,8,8,6,8,5,6,6,7,8
10/20/2023 10:06:05,10,10,5,10,10,10,10,10,10
